name;url_image;degree;university;university_country;research_papers
José Manuel Aguilar Alfaro;https://cris.utec.edu.pe/files-asset/25754110/aguilar-alfaro-jose-manuel.jpg?w=160&f=jpg;Doctorado;ESAN Graduate School of Business;Peru;0
Helard Álvarez Sánchez;https://www1.utec.edu.pe/sites/default/files/pictures/picture-4-1419631782.jpg;Maestría;Pontificia Universidad Católica del Perú;Peru;4
Claudia Antonini Bova;https://cris.utec.edu.pe/files-asset/18891487/antonini_bova_claudia.jpg?w=160&f=jpg;Ph.D.;Georgia Tech;USA;7
José Manuel Aguilar Alfaro;https://cris.utec.edu.pe/files-asset/25754110/aguilar-alfaro-jose-manuel.jpg?w=160&f=jpg;Doctorado;Universidad ESAN;Peru;0
Helard Álvarez Sánchez;https://www1.utec.edu.pe/sites/default/files/pictures/picture-4-1419631782.jpg;Maestría;Pontificia Universidad Católica del Perú;Peru;4
Claudia Antonini Bova;https://cris.utec.edu.pe/files-asset/18891487/antonini_bova_claudia.jpg?w=160&f=jpg;Ph.D.;Georgia Tech;USA;7
Patricia Araujo Pantoja;https://cris.utec.edu.pe/files-asset/25783439/araujo-pantoja-patricia.jpg?w=160&f=jpg;Doctorado;Instituto de Química de la Universidad de São Paulo;Brazil;5
ARIAS MORENO ANDRÉS JULIÁN;https://dina.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=282868&ruta=/documents/docInvestigadores/282868/imagenes/IMG_0648.JPG&content_type=image/jpeg;Doctorado;Eindhoven University of Technology;Netherlands;5
Luis Alberto Bedriñana;https://cris.utec.edu.pe/files-asset/18892117/bedrinana_mera_luis.jpg?w=160&f=jpg;Ph.D.;Kyoto University;Japan;5
Jesús Edwin Bellido Angulo;https://cris.utec.edu.pe/files-asset/18891996/bellido_angulo_jesus.jpg?w=160&f=jpg;Doctorado;Pontificia Universidad Católica de Chile;Chile;5
Jhedmar Jhonatan Callupe Luna;https://cris.utec.edu.pe/files-asset/25685604/callupe-luna-jhedmar-jhonatan.jpg?w=160&f=jpg;Doctorado;Université Paris Saclay;France;4
Paul Antonio Cardenas Lizana;https://dina.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=123607&ruta=/documents/docInvestigadores/123607/imagenes/IMG_20171129_130513_759.jpg&content_type=image/jpeg;Ph.D.;Georgia Institute of Technology;USA;7
Samuel Charca Mamani;https://www1.utec.edu.pe/sites/default/files/pictures/picture-6-1419631807.jpg;Doctorado;Universidad de Puerto Rico-Mayaguez;USA;5
XYOBY CHAVEZ PACHECO;https://s3.amazonaws.com/files.pucp.edu.pe/profesor/img-docentes/foto-profesor.gif;Maestría;Pontificia Universidad Católica del Perú;Peru;0
Fabien Cornillier;https://cris.utec.edu.pe/files-asset/19169853/corniller_fabien.jpg?w=160&f=jpg;Doctorado;Université Laval;Canada;5
Antuané de la Flor Basterrechea;https://www1.utec.edu.pe/sites/default/files/pictures/picture-571-1565987556.png;Maestría;Pontificia Universidad Católica del Perú;Peru;0
José Gaspar de la Puente Maldonado;https://www1.utec.edu.pe/sites/default/files/pictures/picture-456-1702914683.png;Bachiller;Pontificia Universidad Católica del Perú;Peru;0
José Andrés De Leo Martínez;https://cris.utec.edu.pe/files-asset/19170063/deleo_martinez_jose.jpg?w=160&f=jpg;Doctorado;Universidad Nacional Autónoma de México;Mexico;2
Jose Gerardo Deustua Rossel;https://cris.utec.edu.pe/files-asset/21821347/deustua_rossel_jose_gerardo.jpg?w=160&f=jpg;Maestría;University of Oxford;UK;1
Manuel Arturo Deza Figueroa;https://cris.utec.edu.pe/files-asset/24106839/deza-figueroa-arturo.jpg?w=160&f=jpg;Doctorado;University of California Santa Barbara;USA;5
Alberto Donayre Torres;https://cris.utec.edu.pe/files-asset/19170083/donayre_torres_alberto.jpg?w=160&f=jpg;Doctorado;CINVESTAV-Instituto Politécnico Nacional (IPN), México;Mexico;7
Luis Ernesto Flores Luyo;https://i1.rgstatic.net/ii/profile.image/272547073753134-1441991694927_Q128/Luis-Flores-Luyo.jpg;Maestría;National University of Engineering;Peru;7
Christian Flores Vega;https://www1.utec.edu.pe/sites/default/files/pictures/picture-20-1419636577.jpg;Maestría;Universidad de Sao Paulo (USP);Brazil;2
Jose Tomas Galvez Ghersi;https://cris.utec.edu.pe/files-asset/19170257/galvez_ghersi_jose.jpg?w=160&f=jpg;Ph.D.;Simon Fraser University;Canada;5
Oscar Gamonal Pajares;https://cris.utec.edu.pe/files-asset/19170274/gamonal_pajares_oscar.jpg?w=160&f=jpg;Maestría;Pontificia Universidad Católica del Perú;Peru;2
Germain García Zanabria;https://cris.utec.edu.pe/files-asset/24148814/garcia-zanabria-germain_1_.jpg?w=160&f=jpg;Doctorado;Universidade de São Paulo;Brazil;5
Juan Gabriel Gutierrez Alva;https://cris.utec.edu.pe/files-asset/19170355/gutierrez_alva_juan.jpg?w=160&f=jpg;Ph.D.;Universidade de São Paulo;Brazil;5
